Grid	Lat/Lon hddd°mm.mmm'
Datum	WGS 84

Header	Name	Start Time	Elapsed Time	Length	Average Speed	Link

Track	ACTIVE LOG	5/20/2006 1:34:55 PM 	01:56:53	4.80 mi	2.5 mph	

Header	Position	Time	Altitude	Depth	Leg Length	Leg Time	Leg Speed	Leg Course
Trackpoint	N42 49.365 W70 45.828	5/20/2006 1:46:40 PM 	16 ft		103 ft	00:00:15	4.7 mph	227° true
Trackpoint	N42 49.354 W70 45.845	5/20/2006 1:46:55 PM 	16 ft		103 ft	00:00:15	4.7 mph	227° true
Trackpoint	N42 49.342 W70 45.861	5/20/2006 1:47:10 PM 	15 ft		103 ft	00:00:15	4.7 mph	227° true
Trackpoint	N42 49.329 W70 45.877	5/20/2006 1:47:25 PM 	10 ft		104 ft	00:00:15	4.7 mph	221° true
Trackpoint	N42 49.318 W70 45.892	5/20/2006 1:47:40 PM 	10 ft		99 ft	00:00:15	4.5 mph	224° true
Trackpoint	N42 49.307 W70 45.909	5/20/2006 1:47:55 PM 	13 ft		98 ft	00:00:15	4.4 mph	230° true
Trackpoint	N42 49.297 W70 45.926	5/20/2006 1:48:10 PM 	11 ft		98 ft	00:00:15	4.4 mph	230° true
Trackpoint	N42 49.287 W70 45.945	5/20/2006 1:48:25 PM 	11 ft		107 ft	00:00:15	4.8 mph	234° true
Trackpoint	N42 49.276 W70 45.962	5/20/2006 1:48:40 PM 	11 ft		98 ft	00:00:15	4.4 mph	230° true
Trackpoint	N42 49.264 W70 45.977	5/20/2006 1:48:55 PM 	11 ft		104 ft	00:00:15	4.7 mph	221° true
Trackpoint	N42 49.252 W70 45.993	5/20/2006 1:49:10 PM 	8 ft		99 ft	00:00:15	4.5 mph	224° true
Trackpoint	N42 49.244 W70 46.012	5/20/2006 1:49:25 PM 	7 ft		98 ft	00:00:15	4.5 mph	241° true
Trackpoint	N42 49.237 W70 46.031	5/20/2006 1:49:40 PM 	5 ft		98 ft	00:00:15	4.5 mph	241° true
Trackpoint	N42 49.226 W70 46.052	5/20/2006 1:49:56 PM 	8 ft		111 ft	00:00:16	4.7 mph	236° true
Trackpoint	N42 49.217 W70 46.070	5/20/2006 1:50:11 PM 	13 ft		97 ft	00:00:15	4.4 mph	236° true
Trackpoint	N42 49.208 W70 46.088	5/20/2006 1:50:26 PM 	13 ft		97 ft	00:00:15	4.4 mph	236° true
Trackpoint	N42 49.199 W70 46.109	5/20/2006 1:50:42 PM 	19 ft		107 ft	00:00:16	4.6 mph	239° true
Trackpoint	N42 49.191 W70 46.128	5/20/2006 1:50:57 PM 	24 ft		98 ft	00:00:15	4.5 mph	241° true
Trackpoint	N42 49.182 W70 46.147	5/20/2006 1:51:12 PM 	19 ft		102 ft	00:00:15	4.6 mph	238° true
Trackpoint	N42 49.170 W70 46.164	5/20/2006 1:51:27 PM 	16 ft		108 ft	00:00:15	4.9 mph	224° true
Trackpoint	N42 49.159 W70 46.181	5/20/2006 1:51:42 PM 	11 ft		98 ft	00:00:15	4.4 mph	230° true
Trackpoint	N42 49.154 W70 46.201	5/20/2006 1:51:57 PM 	10 ft		97 ft	00:00:15	4.4 mph	251° true
Trackpoint	N42 49.154 W70 46.223	5/20/2006 1:52:12 PM 	-4.3 ft		98 ft	00:00:15	4.4 mph	270° true
Trackpoint	N42 49.153 W70 46.245	5/20/2006 1:52:27 PM 	-2.7 ft		98 ft	00:00:15	4.5 mph	265° true
Trackpoint	N42 49.145 W70 46.264	5/20/2006 1:52:42 PM 	2 ft		98 ft	00:00:15	4.5 mph	241° true
Trackpoint	N42 49.136 W70 46.284	5/20/2006 1:52:57 PM 	5 ft		102 ft	00:00:15	4.6 mph	238° true
Trackpoint	N42 49.125 W70 46.299	5/20/2006 1:53:12 PM 	8 ft		99 ft	00:00:15	4.5 mph	224° true
Trackpoint	N42 49.112 W70 46.313	5/20/2006 1:53:27 PM 	10 ft		101 ft	00:00:15	4.6 mph	219° true
Trackpoint	N42 49.099 W70 46.329	5/20/2006 1:53:42 PM 	11 ft		104 ft	00:00:15	4.7 mph	221° true
Trackpoint	N42 49.091 W70 46.345	5/20/2006 1:53:57 PM 	11 ft		88 ft	00:00:15	4.0 mph	238° true
Trackpoint	N42 49.087 W70 46.366	5/20/2006 1:54:12 PM 	13 ft		95 ft	00:00:15	4.3 mph	256° true
Trackpoint	N42 49.082 W70 46.387	5/20/2006 1:54:27 PM 	16 ft		97 ft	00:00:15	4.4 mph	251° true
Trackpoint	N42 49.072 W70 46.406	5/20/2006 1:54:42 PM 	15 ft		107 ft	00:00:15	4.8 mph	234° true
Trackpoint	N42 49.060 W70 46.424	5/20/2006 1:54:57 PM 	11 ft		107 ft	00:00:15	4.9 mph	229° true
Trackpoint	N42 49.051 W70 46.441	5/20/2006 1:55:12 PM 	11 ft		93 ft	00:00:15	4.2 mph	234° true
Trackpoint	N42 49.045 W70 46.461	5/20/2006 1:55:27 PM 	13 ft		100 ft	00:00:15	4.5 mph	247° true
Trackpoint	N42 49.041 W70 46.483	5/20/2006 1:55:42 PM 	15 ft		101 ft	00:00:15	4.6 mph	256° true
Trackpoint	N42 49.036 W70 46.504	5/20/2006 1:55:57 PM 	16 ft		97 ft	00:00:15	4.4 mph	251° true
Trackpoint	N42 49.024 W70 46.522	5/20/2006 1:56:12 PM 	15 ft		107 ft	00:00:15	4.9 mph	229° true
Trackpoint	N42 49.010 W70 46.535	5/20/2006 1:56:27 PM 	18 ft		104 ft	00:00:15	4.7 mph	214° true
Trackpoint	N42 48.998 W70 46.550	5/20/2006 1:56:42 PM 	15 ft		99 ft	00:00:15	4.5 mph	224° true
Trackpoint	N42 48.987 W70 46.567	5/20/2006 1:56:57 PM 	15 ft		103 ft	00:00:15	4.7 mph	227° true
Trackpoint	N42 48.976 W70 46.584	5/20/2006 1:57:12 PM 	13 ft		98 ft	00:00:15	4.4 mph	230° true
Trackpoint	N42 48.962 W70 46.599	5/20/2006 1:57:27 PM 	15 ft		110 ft	00:00:15	5.0 mph	219° true
Trackpoint	N42 48.947 W70 46.613	5/20/2006 1:57:42 PM 	13 ft		113 ft	00:00:15	5.2 mph	214° true
Trackpoint	N42 48.931 W70 46.626	5/20/2006 1:57:57 PM 	13 ft		110 ft	00:00:15	5.0 mph	211° true
Trackpoint	N42 48.916 W70 46.640	5/20/2006 1:58:12 PM 	13 ft		113 ft	00:00:15	5.2 mph	214° true
Trackpoint	N42 48.902 W70 46.653	5/20/2006 1:58:27 PM 	13 ft		104 ft	00:00:15	4.7 mph	214° true
Trackpoint	N42 48.885 W70 46.666	5/20/2006 1:58:42 PM 	11 ft		117 ft	00:00:15	5.3 mph	209° true
Trackpoint	N42 48.868 W70 46.678	5/20/2006 1:58:57 PM 	15 ft		114 ft	00:00:15	5.2 mph	207° true
Trackpoint	N42 48.852 W70 46.688	5/20/2006 1:59:12 PM 	15 ft		112 ft	00:00:15	5.1 mph	204° true
Trackpoint	N42 48.835 W70 46.698	5/20/2006 1:59:27 PM 	13 ft		112 ft	00:00:15	5.1 mph	204° true
Trackpoint	N42 48.821 W70 46.711	5/20/2006 1:59:42 PM 	13 ft		104 ft	00:00:15	4.7 mph	214° true
Trackpoint	N42 48.807 W70 46.727	5/20/2006 1:59:57 PM 	15 ft		110 ft	00:00:15	5.0 mph	219° true
Trackpoint	N42 48.796 W70 46.743	5/20/2006 2:00:12 PM 	15 ft		98 ft	00:00:15	4.4 mph	230° true
Trackpoint	N42 48.788 W70 46.763	5/20/2006 2:00:27 PM 	13 ft		98 ft	00:00:15	4.5 mph	241° true
Trackpoint	N42 48.785 W70 46.783	5/20/2006 2:00:42 PM 	13 ft		95 ft	00:00:15	4.3 mph	256° true
Trackpoint	N42 48.778 W70 46.804	5/20/2006 2:00:57 PM 	11 ft		100 ft	00:00:15	4.5 mph	247° true
